epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1254.57,0.88352,1.52817,2.01391,1.07203,0.3226,0.17307,0.13129,0.09326,0.32609,0.17116,0.13249,0.08663,0.99704,1.91919,2.42286,1.17511,0.0091684,0.0091684,0.0091684
44,1281.37,0.90352,1.56547,2.04973,1.07633,0.29902,0.16629,0.11662,0.08363,0.30103,0.16587,0.11707,0.07853,0.95882,1.83436,2.56989,1.16006,0.0091486,0.0091486,0.0091486
45,1308.45,0.89345,1.54363,2.02104,1.07626,0.32429,0.16172,0.12586,0.09108,0.33339,0.16097,0.12659,0.08646,0.93088,1.82018,2.45461,1.1504,0.0091288,0.0091288,0.0091288
46,1335.65,0.90504,1.56408,2.00967,1.07082,0.33113,0.17517,0.13077,0.09275,0.33097,0.17514,0.13008,0.08429,0.93643,1.89273,2.3866,1.1412,0.009109,0.009109,0.009109
47,1362.63,0.91346,1.54606,1.96456,1.07946,0.34265,0.18407,0.13686,0.10069,0.34338,0.18368,0.13675,0.09314,0.92063,1.77988,2.42361,1.13577,0.0090892,0.0090892,0.0090892
48,1389.62,0.89954,1.53182,1.94837,1.06833,0.31812,0.16647,0.12079,0.08556,0.31734,0.16555,0.11998,0.0799,0.94761,1.97141,2.53682,1.16546,0.0090694,0.0090694,0.0090694
49,1416.21,0.90638,1.56835,1.9567,1.07104,0.28881,0.1727,0.12462,0.08791,0.29622,0.16992,0.12294,0.08133,0.953,1.89571,2.56885,1.16132,0.0090496,0.0090496,0.0090496
50,1444.04,0.89719,1.54787,1.93285,1.06803,0.28341,0.188,0.1272,0.09287,0.28538,0.18746,0.12716,0.08403,0.94449,1.88159,2.45122,1.14113,0.0090298,0.0090298,0.0090298
51,1471.32,0.89556,1.52603,1.91247,1.06726,0.33652,0.18118,0.12912,0.09108,0.34244,0.17787,0.13097,0.08477,0.93977,1.82858,2.43441,1.14821,0.00901,0.00901,0.00901
52,1497.74,0.89342,1.53389,1.91388,1.06459,0.27804,0.16153,0.11279,0.07857,0.27835,0.16077,0.11275,0.07361,0.99375,2.01587,2.64338,1.19848,0.0089902,0.0089902,0.0089902
