epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,7040.59,0.54393,0.93814,0.85497,1.05117,0.46813,0.39074,0.38,0.31869,0.47062,0.38852,0.38148,0.30103,0.6639,1.41652,1.51101,1.18328,0.0081586,0.0081586,0.0081586
95,7113.83,0.55895,0.96633,0.87304,1.05491,0.53715,0.35692,0.37808,0.31813,0.54027,0.35919,0.38002,0.30163,0.66359,1.41659,1.51549,1.17714,0.0081388,0.0081388,0.0081388
96,7188.59,0.56029,0.9627,0.87838,1.06434,0.47051,0.39161,0.38786,0.32386,0.47293,0.39108,0.39056,0.30815,0.66025,1.42427,1.50286,1.18236,0.008119,0.008119,0.008119
97,7261.84,0.55763,0.97104,0.87977,1.05279,0.54232,0.37644,0.3838,0.32256,0.54395,0.37731,0.38599,0.30616,0.66276,1.44115,1.514,1.18536,0.0080992,0.0080992,0.0080992
98,7335.13,0.543,0.92743,0.84121,1.0459,0.48629,0.38831,0.39054,0.32737,0.48905,0.38924,0.39218,0.3103,0.6587,1.41262,1.49471,1.17756,0.0080794,0.0080794,0.0080794
99,7409.02,0.54836,0.95477,0.85835,1.04686,0.47819,0.38221,0.38024,0.31956,0.48441,0.37892,0.38192,0.30223,0.65412,1.41995,1.52238,1.17436,0.0080596,0.0080596,0.0080596
100,7482.7,0.55345,0.95679,0.83963,1.0538,0.55094,0.36626,0.38296,0.32186,0.54829,0.36654,0.38239,0.30411,0.65594,1.44002,1.52955,1.18148,0.0080398,0.0080398,0.0080398
101,7556.04,0.5441,0.92925,0.81072,1.04499,0.49576,0.38459,0.38789,0.32427,0.49633,0.38502,0.38909,0.30765,0.65915,1.42467,1.52023,1.18475,0.00802,0.00802,0.00802
102,7630.07,0.54643,0.94295,0.8246,1.04382,0.51612,0.37254,0.3913,0.32888,0.51474,0.37357,0.3906,0.31104,0.65399,1.42727,1.51707,1.17178,0.0080002,0.0080002,0.0080002
103,7704.4,0.54875,0.93979,0.83048,1.04137,0.52751,0.37837,0.38774,0.32828,0.52785,0.37887,0.38801,0.30948,0.65175,1.41506,1.51639,1.16837,0.0079804,0.0079804,0.0079804
104,7778.77,0.54679,0.93644,0.82724,1.03954,0.52175,0.38033,0.38707,0.32586,0.52237,0.37998,0.38557,0.30764,0.6528,1.42721,1.52839,1.17316,0.0079606,0.0079606,0.0079606
105,7852.42,0.54355,0.93968,0.81934,1.0398,0.54152,0.37945,0.38825,0.32679,0.54202,0.38049,0.3893,0.30976,0.65822,1.42973,1.52297,1.18047,0.0079408,0.0079408,0.0079408
106,7926.13,0.54218,0.93759,0.82199,1.04653,0.56682,0.36491,0.38877,0.32618,0.56777,0.36564,0.38968,0.30978,0.65747,1.42369,1.51647,1.18303,0.007921,0.007921,0.007921
107,7999.98,0.53714,0.92347,0.80989,1.04496,0.49798,0.39026,0.38719,0.32595,0.50008,0.38744,0.38842,0.30791,0.657,1.42618,1.52066,1.18994,0.0079012,0.0079012,0.0079012
108,8073.84,0.53553,0.9222,0.798,1.02917,0.52509,0.38474,0.38794,0.3264,0.52902,0.38296,0.38817,0.30869,0.65968,1.44254,1.5314,1.18436,0.0078814,0.0078814,0.0078814
109,8147.8,0.54386,0.92636,0.80186,1.03856,0.53049,0.36759,0.38691,0.3268,0.53522,0.36835,0.38773,0.30925,0.6555,1.43654,1.53132,1.17783,0.0078616,0.0078616,0.0078616
110,8221.94,0.53652,0.91976,0.79506,1.03656,0.50218,0.38653,0.39007,0.32933,0.50305,0.38745,0.39307,0.3131,0.65304,1.41043,1.52555,1.17838,0.0078418,0.0078418,0.0078418
111,8295.55,0.53458,0.92939,0.7865,1.04408,0.50561,0.37864,0.3921,0.33231,0.50511,0.37972,0.3939,0.31484,0.65145,1.42464,1.52967,1.17583,0.007822,0.007822,0.007822
112,8368.95,0.5373,0.91969,0.77746,1.0388,0.49717,0.38187,0.39071,0.33042,0.49768,0.38245,0.39164,0.31321,0.65601,1.43333,1.5297,1.18227,0.0078022,0.0078022,0.0078022
113,8442.25,0.54004,0.9185,0.77496,1.03669,0.543,0.37911,0.39289,0.33279,0.54479,0.37865,0.39325,0.31462,0.65794,1.41803,1.52761,1.18536,0.0077824,0.0077824,0.0077824
114,8515.78,0.534,0.89313,0.77565,1.0357,0.46623,0.3853,0.38911,0.32779,0.46581,0.38726,0.39012,0.30969,0.65732,1.42581,1.53314,1.1856,0.0077626,0.0077626,0.0077626
115,8589.62,0.54149,0.94445,0.80016,1.04789,0.45358,0.39424,0.38615,0.32422,0.45291,0.39494,0.38734,0.30697,0.6544,1.43083,1.52919,1.1842,0.0077428,0.0077428,0.0077428
116,8663.49,0.54158,0.911,0.76233,1.03373,0.48536,0.38682,0.38601,0.32544,0.48581,0.38795,0.38632,0.30734,0.65536,1.42388,1.53347,1.18511,0.007723,0.007723,0.007723
117,8737.03,0.53549,0.92034,0.76672,1.03222,0.47294,0.40019,0.39134,0.33159,0.47442,0.4013,0.39249,0.31339,0.6544,1.42866,1.52565,1.18709,0.0077032,0.0077032,0.0077032
118,8810.84,0.53356,0.90644,0.77666,1.03487,0.50818,0.38533,0.38731,0.32724,0.50686,0.38772,0.38883,0.30973,0.65917,1.4424,1.54899,1.18956,0.0076834,0.0076834,0.0076834
119,8884.71,0.53772,0.92,0.76069,1.03458,0.50255,0.39864,0.39014,0.32881,0.50125,0.39932,0.39101,0.30955,0.65927,1.44242,1.54079,1.18722,0.0076636,0.0076636,0.0076636
120,8958.32,0.54142,0.92781,0.75256,1.03619,0.50214,0.39149,0.38806,0.32928,0.50057,0.39237,0.39107,0.31084,0.65583,1.44554,1.54688,1.18557,0.0076438,0.0076438,0.0076438
121,9031.92,0.54237,0.93136,0.77614,1.04404,0.52058,0.38,0.38952,0.32997,0.52116,0.3821,0.39111,0.31233,0.65177,1.43782,1.55003,1.18541,0.007624,0.007624,0.007624
122,9106.47,0.52081,0.89282,0.74219,1.02615,0.51613,0.37646,0.39004,0.32921,0.51019,0.37961,0.39069,0.312,0.65476,1.43134,1.54516,1.18835,0.0076042,0.0076042,0.0076042
123,9180.33,0.52808,0.90255,0.75995,1.03194,0.50509,0.38544,0.3908,0.33131,0.50241,0.3906,0.39352,0.31381,0.65543,1.42521,1.55707,1.18641,0.0075844,0.0075844,0.0075844
124,9254,0.53465,0.9054,0.7521,1.033,0.50871,0.37908,0.38658,0.32699,0.50044,0.38376,0.39138,0.31021,0.65799,1.43339,1.57157,1.188,0.0075646,0.0075646,0.0075646
125,9327.75,0.52198,0.8975,0.73042,1.02223,0.49813,0.38254,0.39033,0.32928,0.50342,0.38365,0.39414,0.31214,0.65822,1.43778,1.56179,1.18502,0.0075448,0.0075448,0.0075448
126,9401.52,0.52987,0.89293,0.74587,1.02946,0.53012,0.38303,0.39309,0.33159,0.53131,0.3838,0.39597,0.31345,0.65437,1.44072,1.55222,1.18103,0.007525,0.007525,0.007525
127,9475.08,0.52978,0.89653,0.7233,1.03079,0.53679,0.38359,0.39715,0.3338,0.5363,0.38391,0.39933,0.31602,0.65751,1.45734,1.5493,1.18754,0.0075052,0.0075052,0.0075052
128,9548.73,0.53755,0.92305,0.73728,1.03286,0.55426,0.37454,0.39734,0.33429,0.55689,0.37561,0.39941,0.31675,0.65572,1.45278,1.55398,1.18392,0.0074854,0.0074854,0.0074854
129,9622.24,0.52576,0.88917,0.71982,1.0285,0.54493,0.37708,0.39594,0.3325,0.53235,0.37986,0.39761,0.31561,0.65683,1.45346,1.55558,1.18402,0.0074656,0.0074656,0.0074656
